song,artist,uri,id,track_href,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,clusters
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Various Artists,spotify:track:1ip2IGDWMrUmlaepEbWlL8,1ip2IGDWMrUmlaepEbWlL8,https://api.spotify.com/v1/tracks/1ip2IGDWMrUmlaepEbWlL8,0.258,0.659,-5.903,0.0596,0.253,0.0,0.111,0.272,189.558,250267,5
The Nights,Avicii,spotify:track:0ct6r3EGTcMLPtrXHDvVjc,0ct6r3EGTcMLPtrXHDvVjc,https://api.spotify.com/v1/tracks/0ct6r3EGTcMLPtrXHDvVjc,0.527,0.835,-5.298,0.0433,0.0166,0.0,0.249,0.654,125.983,176658,5
Talking Body,Tove Lo,spotify:track:2tpfxAXiI52znho4WE3XFA,2tpfxAXiI52znho4WE3XFA,https://api.spotify.com/v1/tracks/2tpfxAXiI52znho4WE3XFA,0.736,0.761,-5.449,0.0338,0.0966,0.0,0.0823,0.114,119.999,238427,3
Dear Future Husband,Meghan Trainor,spotify:track:3cU2wBxuV6nFiuf6PJZNlC,3cU2wBxuV6nFiuf6PJZNlC,https://api.spotify.com/v1/tracks/3cU2wBxuV6nFiuf6PJZNlC,0.655,0.782,-4.789,0.185,0.375,0.0,0.317,0.832,79.427,184227,4
Living For Love,Madonna,spotify:track:7q6pXvSL7G6NkvSSt7YGJ0,7q6pXvSL7G6NkvSSt7YGJ0,https://api.spotify.com/v1/tracks/7q6pXvSL7G6NkvSSt7YGJ0,0.674,0.778,-4.537,0.0772,0.0402,0.000448,0.288,0.416,122.955,218787,6
GDFR (feat. Sage the Gemini & Lookas),Flo Rida,spotify:track:6N9ZOtguCnnrvwH7zD82WJ,6N9ZOtguCnnrvwH7zD82WJ,https://api.spotify.com/v1/tracks/6N9ZOtguCnnrvwH7zD82WJ,0.657,0.827,-4.036,0.0734,0.000704,0.00534,0.065,0.69,145.889,190186,4
Shut Up and Dance,WALK THE MOON,spotify:track:4kbj5MwxO1bq9wjT5g9HaA,4kbj5MwxO1bq9wjT5g9HaA,https://api.spotify.com/v1/tracks/4kbj5MwxO1bq9wjT5g9HaA,0.578,0.866,-3.804,0.0619,0.00701,0.0,0.257,0.619,128.038,199080,4
Uma Thurman,Fall Out Boy,spotify:track:5PUawWFG1oIS2NwEcyHaCr,5PUawWFG1oIS2NwEcyHaCr,https://api.spotify.com/v1/tracks/5PUawWFG1oIS2NwEcyHaCr,0.623,0.962,-2.616,0.0895,0.103,0.000174,0.264,0.676,149.963,211573,5
Somebody,Natalie La Rose,spotify:track:7ioiB40H9xKs04QtIso2I3,7ioiB40H9xKs04QtIso2I3,https://api.spotify.com/v1/tracks/7ioiB40H9xKs04QtIso2I3,0.83,0.52,-8.714,0.0376,0.000792,1.25e-05,0.0656,0.735,104.99,189907,2
I Bet My Life,Imagine Dragons,spotify:track:15DrrIod12Tc2IoMaHiwlQ,15DrrIod12Tc2IoMaHiwlQ,https://api.spotify.com/v1/tracks/15DrrIod12Tc2IoMaHiwlQ,0.553,0.657,-8.219,0.0405,0.335,0.000648,0.228,0.555,107.889,192707,3
FourFiveSeconds,Rihanna,spotify:track:78TTtXnFQPzwqlbtbwqN0y,78TTtXnFQPzwqlbtbwqN0y,https://api.spotify.com/v1/tracks/78TTtXnFQPzwqlbtbwqN0y,0.582,0.272,-5.662,0.0501,0.875,0.0,0.13,0.354,205.846,188238,7
American Oxygen,Rihanna,spotify:track:0bHA8LApeZHv7ZlhVUWg8X,0bHA8LApeZHv7ZlhVUWg8X,https://api.spotify.com/v1/tracks/0bHA8LApeZHv7ZlhVUWg8X,0.391,0.745,-6.296,0.0884,0.0497,0.0,0.329,0.483,78.205,320161,3
Back to Earth (feat. Fall Out Boy),Steve Aoki,spotify:track:1SqHHN5Mqy13gHbDGjTaU7,1SqHHN5Mqy13gHbDGjTaU7,https://api.spotify.com/v1/tracks/1SqHHN5Mqy13gHbDGjTaU7,0.585,0.906,-3.044,0.228,0.0268,0.0,0.0482,0.209,128.072,243747,5
Back Together,Robin Thicke,spotify:track:16e3Ly7ddGqqnFDiWWWwnc,16e3Ly7ddGqqnFDiWWWwnc,https://api.spotify.com/v1/tracks/16e3Ly7ddGqqnFDiWWWwnc,0.736,0.785,-5.296,0.0694,0.0925,0.0,0.0964,0.774,117.91,224307,4
